full_term,abbreviation,domain
photosensitive semiconductor,PHOTOS SEMI,components
photosensitive semiconductor devices,PHOTOS SEMI DEVS,components
photosensitive semiconductor devices including,PHOTOS SEMI DEVS INCLUD,components
printed,PRINT,components
processes,PROCS,components
processor,PROC,components
processors and controllers,PROCES AND CTRLS,components
processors and controllers whether,PROCES AND CTRLS whether,components
protecting electrical circuits,PROTECT ELEC circuits,components
quantities excluding,QUANTI EXCLUD,components
quantities excluding meters,QUANTI EXCLUD meters,components
recording device,RECORD DEV,components
recording device taric,RECORD DEV taric,components
semiconductor,SEMI,components
semiconductor devices,SEMI DEVS,components
semiconductor devices electronic,SEMI DEVS ELEC,components
semiconductor devices electronic integrated,SEMI DEVS ELEC INTG,components
semiconductor devices including,SEMI DEVS INCLUD,components
semiconductor devices including photovoltaic,SEMI DEVS INCLUD PHOTOV,components
semiconductor devices photosensitive,SEMI DEVS PHOTOS,components
semiconductor devices photosensitive semiconductor,SEMI DEVS PHOTOS SEMI,components
sensor,SNSR,components
sensors,SNSR,components
signal converters,SIG CONVER,components
similar semiconductor devices,similar SEMI DEVS,components
similar semiconductor devices photosensitive,similar SEMI DEVS PHOTOS,components
specific,SPEC,components
surface,SURF,components
switching,SW,components
switching devices,SW DEVS,components
switching or protecting,SW OR PROTECT,components
switching or protecting electrical,SW OR PROTECT ELEC,components
transistors and similar semiconductor,TRANSI AND similar SEMI,components
- measuring or checking,- MEAS OR CHECK,equipment
acceleration measurement,ACCELERAT MEAS,equipment
cross-talk meters gain measuring,CROSS- meters GAIN MEAS,equipment
electrical apparatus for switching,ELEC apparatus FOR SW,equipment
electronic for measuring,ELEC FOR MEAS,equipment
equipment,EQPT,equipment
equipment scientific and measuring,EQPT SCIENT AND MEAS,equipment
equipment sensors,EQPT SNSR,equipment
gain measuring instruments,GAIN MEAS INSTR,equipment
gain measuring instruments distortion,GAIN MEAS INSTR DISTORT,equipment
measurement,MEAS,equipment
measuring,MEAS,equipment
measuring and checking,MEAS AND CHECK,equipment
measuring electr. quantities,MEAS electr. QUANTI,equipment
measuring equipment,MEAS EQPT,equipment
measuring equipment sensors,MEAS EQPT SNSR,equipment
measuring instruments,MEAS INSTR,equipment
measuring instruments distortion,MEAS INSTR DISTORT,equipment
measuring instruments distortion factor,MEAS INSTR DISTORT factor,equipment
measuring or checking,MEAS OR CHECK,equipment
measuring or checking electrical,MEAS OR CHECK ELEC,equipment
measuring or checking geometrical,MEAS OR CHECK GEOMET,equipment
measuring or checking instruments,MEAS OR CHECK INSTR,equipment
measuring or detecting,MEAS OR DETECT,equipment
measuring or detecting alpha,MEAS OR DETECT alpha,equipment
meters gain measuring instruments,meters GAIN MEAS INSTR,equipment
scientific and measuring,SCIENT AND MEAS,equipment
scientific and measuring equipment,SCIENT AND MEAS EQPT,equipment
testing,TEST,equipment
chemical,CHEM,materials
chemical or allied industries,CHEM OR allied INDUST,materials
chemical preparations,CHEM PREPAR,materials
chemical products and preparations,CHEM products AND PREPAR,materials
chemical products or preparations,CHEM products OR PREPAR,materials
copper,CU,materials
silicon,SI,materials
wafer,WFR,materials
wafers semiconductor devices,wafers SEMI DEVS,materials
wafers semiconductor devices electronic,wafers SEMI DEVS ELEC,materials
mount,MT,packaging
package,PKG,packaging
packaging,PKG,packaging
capacitors,CAPS,passives
connectors,CONNS,passives
connectors electrical,CONNS ELEC,passives
connectors for optical,CONNS FOR OPT,passives
connectors for optical fibres,CONNS FOR OPT fibres,passives
connectors junction,CONNS JUNCT,passives
connectors junction boxes,CONNS JUNCT boxes,passives
emitting diodes with connectors,EMITT diodes WITH CONNS,passives
resistors,RES,passives
resistors including,RES INCLUD,passives
resistors including rheostats,RES INCLUD rheostats,passives
v connectors for optical,V CONNS FOR OPT,passives
cleaning,CLEAN,processes
coating,COAT,processes
manufacturing,MFG,processes
process,PROC,processes
current,CURR,specifications
current not exceeding,CURR NOT EXCEED,specifications
electrical current,ELEC CURR,specifications
frequency,FREQ,specifications
power,PWR,specifications
power supply,PWR SUP,specifications
pressure,PRESS,specifications
resistance,RES,specifications
temperature,TEMP,specifications
voltage,VOLT,specifications
voltage current,VOLT CURR,specifications
voltage not exceeding,VOLT NOT EXCEED,specifications
tantalum polymer capacitor,TANT POLY CAP,passives
polymer capacitor,POLY CAP,passives
battery charger,BAT CHGR,components
laser marking machine,LASER MARKER,equipment
laser cutting machine,LASER CUTTER,equipment
laser marking,LASER MARK,equipment
laser cutting,LASER CUT,equipment
microfilm reader printer,MFR PRINTER,equipment
toner powder,TONER PWD,materials
polyester resin,PE RESIN,materials
sealed lead acid,SLA,components
tungsten carbide,TUNG CARB,materials
zirconium,ZR,materials
carbon dioxide,CO2,materials
