hs6,description
902590,"Hydrometers and similar floating instruments, barometers, hygrometers, psychrometers, thermometers, pyrometers; recording or not, any combination of these instruments, parts and accessories"
902710,"Instruments and apparatus; gas or smoke analysis apparatus, for physical or chemical analysis"
902750,"Instruments and apparatus; using optical radiations (UV, visible, IR), (other than spectrometers, spectrophotometers and spectrographs)"
902910,"Meters and counters; revolution counters, production counters, taximeters, mileometers, pedometers and the like"
903033,"Instruments and apparatus; for measuring or checking voltage, current, resistance or power, without a recording device (excluding multimeters)"
903039,"Instruments and apparatus; for measuring or checking voltage, current, resistance or power, with a recording device (excluding multimeters)"
903040,"Instruments and apparatus; specially designed for telecommunications (e.g. cross-talk meters, gain measuring instruments, distortion factor meters, psophometers)"
903082,Instruments and apparatus; for measuring or checking semiconductor wafers or devices (including integrated circuits)
903084,"Instruments and apparatus; n.e.c. in heading no. 9030, with a recording device"
903090,"Instruments, apparatus for measuring, checking electrical quantities, not meters of heading no. 9028; parts and accessories, for measuring or detecting alpha, beta, gamma, x-ray, cosmic and other radiations"
903141,"Optical instruments and appliances; for inspecting semiconductor wafers or devices or for inspecting photomasks or reticles used in manufacturing semiconductor devices, n.e.c. in chapter 90"
903149,"Optical instruments and appliances; for measuring or checking, n.e.c. in chapter 90"
903180,"Instruments, appliances and machines; for measuring or checking n.e.c. in chapter 90"
903190,"Instruments, appliances and machines; parts and accessories for those measuring or checking devices of heading no. 9031"
940542,"Luminaires and light fittings; electric, designed for use solely with light-emitting diode (LED) light sources"
